"name","rating","region"
"","variety","grape"
"0"," Austria\"",""
"1"," Austria\"",""
"2","White Wine",""
"3","White Wine",""
"4","White Wine",""
"5","White Wine",""
"6"," Sierra Foothills",""
"7"," California\"",""
"8"," California\"",""
"9"," Sierra Foothills",""
"10"," Sierra Foothills",""
"11"," Sierra Foothills",""
"12"," Sierra Foothills",""
"13"," Sierra Foothills",""
"14"," Sierra Foothills",""
"15"," Sierra Foothills",""
"16"," Sierra Foothills",""
"17"," Sierra Foothills",""
"18"," Sierra Foothills",""
"19"," Sierra Foothills",""
"20","Red Wine",""
"21"," Sierra Foothills",""
"22"," Sierra Foothills",""
"23"," Sonoma County",""
"24"," California\"",""
"25"," California\"",""
"26"," California\"",""
"27"," Rhone",""
"28"," Rhone",""
"29"," Rhone",""
"30"," Rhone",""
"31"," Rhone",""
"32"," Rhone",""
"33"," Rhone",""
"34"," Rhone",""
"35"," Rhone",""
"36"," Rhone",""
"37"," Central Coast",""
"38"," Central Coast",""
"39"," Central Coast",""
"40"," Central Coast",""
"41"," Central Coast",""
"42"," California\"",""
"43"," Central Coast",""
"44"," Central Coast",""
"45"," Central Coast",""
"46"," Central Coast",""
"47"," Central Coast",""
"48"," Central Coast",""
"49"," California\"",""
"50"," California\"",""
"51"," Central Coast",""
"52"," Central Coast",""
"53"," California\"",""
"54"," Central Coast",""
"55"," California\"",""
"56"," Central Coast",""
"57"," Central Coast",""
"58"," California\"",""
"59"," California\"",""
"60"," California\"",""
"61"," California\"",""
"62"," Central Coast",""
"63"," Paso Robles",""
"64"," Paso Robles",""
"65"," Central Coast",""
"66"," Willamette Valley",""
"67"," Willamette Valley",""
"68"," Willamette Valley",""
"69"," Willamette Valley",""
"70"," Oregon\"",""
"71"," Oregon\"",""
"72","Red Wine",""
"73","Red Wine",""
"74"," Central Coast",""
"75"," Central Coast",""
"76","White Wine",""
"77"," New Zealand\"",""
"78"," New Zealand\"",""
"79"," New Zealand\"",""
"80","Red Wine",""
"81"," California\"",""
"82","Red Wine",""
"83","Red Wine",""
"84","Red Wine",""
"85"," Australia\"",""
"86"," Australia\"",""
"87"," Australia\"",""
"88"," Australia\"",""
"89"," Australia\"",""
"90"," California\"",""
"91"," Italy\"",""
"92","Red Wine",""
"93","White Wine",""
"94"," France\"",""
"95"," Oregon\"",""
"96"," Oregon\"",""
"97"," Oregon\"",""
"98"," Oregon\"",""
"99"," Oregon\"",""
"100"," Bordeaux",""
"101"," Bordeaux",""
"102"," Bordeaux",""
"103"," Bordeaux",""
"104"," Bordeaux",""
"105"," Bordeaux",""
"106"," Italy\"",""
"107"," Italy\"",""
"108"," Italy\"",""
"109"," Italy\"",""
"110"," Italy\"",""
"111"," Italy\"",""
"112"," Italy\"",""
"113"," Italy\"",""
"114"," France\"",""
"115"," Tuscany",""
"116"," Tuscany",""
"117"," Tuscany",""
"118"," Tuscany",""
"119"," Tuscany",""
"120"," Tuscany",""
"121"," Tuscany",""
"122"," Tuscany",""
"123"," Tuscany",""
"124"," Tuscany",""
"125"," Tuscany",""
"126"," Tuscany",""
"127"," Tuscany",""
"128","White Wine",""
"129","White Wine",""
"130","Red Wine",""
"131"," Southwest",""
"132"," Italy\"",""
"133"," Prosecco",""
"134"," Prosecco",""
"135"," Chianti",""
"136"," Chianti",""
"137"," Chianti",""
"138"," Chianti",""
"139"," Chianti",""
"140"," Chianti",""
"141"," Chianti",""
"142"," Chianti",""
"143"," Chianti",""
"144"," Italy\"",""
"145"," Burgundy",""
"146"," Burgundy",""
"147"," Burgundy",""
"148"," Bordeaux",""
"149"," Bordeaux",""
"150"," Bordeaux",""
"151"," Bordeaux",""
"152"," Bordeaux",""
"153"," Italy\"",""
"154"," Italy\"",""
"155"," Bordeaux",""
"156"," Bordeaux",""
"157"," Bordeaux",""
"158"," Chianti",""
"159","Sparkling & Champagne",""
"160","Sparkling & Champagne",""
"161"," Rhone",""
"162"," Tuscany",""
"163"," Tuscany",""
"164"," Tuscany",""
"165"," Tuscany",""
"166"," Tuscany",""
"167"," Tuscany",""
"168"," Tuscany",""
"169"," Tuscany",""
"170"," Tuscany",""
"171"," Italy\"",""
"172"," Tuscany",""
"173"," Italy\"",""
"174"," Italy\"",""
"175"," Italy\"",""
"176"," Italy\"",""
"177"," Italy\"",""
"178"," Italy\"",""
"179"," Italy\"",""
"180"," Italy\"",""
"181"," Italy\"",""
"182"," Italy\"",""
"183"," Italy\"",""
"184"," Italy\"",""
"185"," Italy\"",""
"186"," Italy\"",""
"187"," Italy\"",""
"188"," Italy\"",""
"189"," Italy\"",""
"190"," Italy\"",""
"191"," Italy\"",""
"192"," Italy\"",""
"193"," Italy\"",""
"194"," Italy\"",""
"195"," Italy\"",""
"196"," Italy\"",""
"197"," Italy\"",""
"198"," Italy\"",""
"199"," Italy\"",""
"200"," Italy\"",""
"201"," Italy\"",""
"202"," Italy\"",""
"203"," Italy\"",""
"204"," Italy\"",""
"205"," Italy\"",""
"206"," Italy\"",""
"207"," Italy\"",""
"208"," Italy\"",""
"209"," Italy\"",""
"210"," Italy\"",""
"211"," Italy\"",""
"212"," Italy\"",""
"213"," Italy\"",""
"214"," California\"",""
"215"," France\"",""
"216"," Italy\"",""
"217"," Tuscany",""
"218"," Tuscany",""
"219"," Tuscany",""
"220"," Tuscany",""
"221"," Tuscany",""
"222"," Tuscany",""
"223"," Tuscany",""
"224"," Tuscany",""
"225"," Tuscany",""
"226"," Tuscany",""
"227"," Tuscany",""
"228"," Central Coast",""
"229"," California\"",""
"230"," Central Coast",""
"231"," California\"",""
"232"," California\"",""
"233"," California\"",""
"234"," Central Coast",""
